Iteration,Precision,Method
1,50.29,Random
2,51.43,Random
3,51.59,Random
4,52.02,Random
5,52.77,Random
6,53.14,Random
7,54.91,Random
8,54.05,Random
9,54.23,Random
10,54.52,Random
11,55.36,Random
12,54.52,Random
13,55.92,Random
14,54.55,Random
15,54.08,Random
16,54.36,Random
17,53.3,Random
18,53.6,Random
19,54.76,Random
20,54.47,Random
21,53.49,Random
22,53.3,Random
23,55.95,Random
24,56.42,Random
25,56.42,Random
26,54.49,Random
27,55.1,Random
28,55.49,Random
29,55.65,Random
30,54.05,Random
31,53.94,Random
32,54.14,Random
33,54.6,Random
34,54.27,Random
35,52.68,Random
36,53.59,Random
37,53.85,Random
38,55.73,Random
39,54.35,Random
40,55.31,Random
41,55.66,Random
42,55,Random
43,55.8,Random
44,56.05,Random
45,55.56,Random
46,54.63,Random
47,52.54,Random
48,54.52,Random
49,52.37,Random
50,53.71,Random
51,54.76,Random
52,54.08,Random
53,53.64,Random
54,53.53,Random
55,53.18,Random
56,52.89,Random
57,52.89,Random
58,54.05,Random
59,53.58,Random
60,55.07,Random
61,55.13,Random
62,55.52,Random
63,53.91,Random
64,53.31,Random
65,52.77,Random
66,52.62,Random
67,52.48,Random
68,53.8,Random
69,52.48,Random
70,55.95,Random
71,56.63,Random
72,54.13,Random
73,53.69,Random
74,54.39,Random
75,55.03,Random
1,50.29,Active
2,51.62,Active
3,51.32,Active
4,52.46,Active
5,52.26,Active
6,52.15,Active
7,50.42,Active
8,51.25,Active
9,51.14,Active
10,51.27,Active
11,54.41,Active
12,53.64,Active
13,53.6,Active
14,54.09,Active
15,52.62,Active
16,53.25,Active
17,53.59,Active
18,55.29,Active
19,56.04,Active
20,56.31,Active
21,55.49,Active
22,54.49,Active
23,55.86,Active
24,56.44,Active
25,55.02,Active
26,55.76,Active
27,55.93,Active
28,56.06,Active
29,55.89,Active
30,55.96,Active
31,55.76,Active
32,55.11,Active
33,56.17,Active
34,56.88,Active
35,56.74,Active
36,57.05,Active
37,58.18,Active
38,57.32,Active
39,57.1,Active
40,57.68,Active
41,58.04,Active
42,59.42,Active
43,57.59,Active
44,56.78,Active
45,56.07,Active
46,56,Active
47,56.43,Active
48,56.37,Active
49,56.05,Active
50,56.15,Active
51,56.87,Active
52,58.52,Active
53,55.56,Active
54,56.66,Active
55,55.9,Active
56,54.6,Active
57,54.77,Active
58,56.66,Active
59,55.62,Active
60,56.17,Active
61,57.68,Active
62,56.7,Active
63,55.69,Active
64,55.76,Active
65,55.83,Active
66,55.45,Active
67,56.33,Active
68,57.14,Active
69,57.1,Active
70,56.47,Active
71,54.46,Active
72,55.88,Active
73,56.3,Active
74,56.23,Active
75,54.25,Active