subjects,fake_id,condition,TM,AL,mental_demand,physical_demand,temporal_demand,success,effort,frustration,label_come_up,interface,interface_satisfaction,final_label_satisfaction,topic_helful
1,b1,LR,no,no,18,2,15,12,15,10,5,5,6,6,0
2,b2,LR,no,no,18,5,20,15,20,20,7,7,5,5,0
3,b3,LR,no,no,15,5,12,5,10,8,5,6,5,5,0
4,b4,LR,no,no,3,1,3,12,1,6,2,4,3,5,0
5,b5,LR,no,no,10,1,10,10,10,10,4,7,7,4,0
6,b6,LR,no,no,3,1,4,1,3,1,2,6,7,6,0
7,b7,LR,no,no,10,5,10,10,10,5,5,6,6,6,0
8,b8,LR,no,no,10,10,10,18,14,10,5,5,6,5,0
9,b9,LR,no,no,10,2,8,10,10,8,4,4,6,6,0
10,b10,LR,no,no,1,1,1,1,1,1,1,7,7,7,0
11,bal1,LA,no,yes,3,1,5,1,2,3,4,6,5,5,0
12,bal2,LA,no,yes,10,1,5,10,3,4,5,2,6,6,0
13,bal3,LA,no,yes,14,1,12,4,15,12,4,3,5,5,0
14,bal4,LA,no,yes,10,2,15,10,15,16,6,4,6,3,0
15,bal5,LA,no,yes,17,2,10,15,10,7,1,3,5,5,0
16,bal6,LA,no,yes,15,1,15,1,15,6,3,7,7,6,0
17,bal7,LA,no,yes,4,1,2,10,4,1,3,3,5,5,0
18,bal8,LA,no,yes,5,5,10,10,15,5,4,5,5,4,0
19,bal9,LA,no,yes,12,2,16,17,20,12,5,7,6,6,0
20,bal10,LA,no,yes,1,1,12,8,8,1,3,5,5,5,0
21,t1,TR,yes,no,9,2,5,17,12,4,2,3,5,4,3
22,t2,TR,yes,no,5,1,1,15,10,1,3,5,5,5,6
23,t3,TR,yes,no,5,1,1,5,5,5,4,6,6,4,3
24,t4,TR,yes,no,17,3,12,3,5,2,3,5,5,5,5
25,t5,TR,yes,no,12,1,11,17,12,7,5,6,6,6,6
26,t6,TR,yes,no,15,1,11,10,15,5,5,7,7,5,6
27,t7,TR,yes,no,5,1,8,5,5,3,2,5,6,6,6
28,t8,TR,yes,no,10,10,10,2,10,10,3,6,6,6,4
29,t9,TR,yes,no,15,1,10,2,10,1,3,7,7,6,7
30,t10,TR,yes,no,13,3,5,12,14,1,3,6,6,6,7
31,tal1,TA,yes,yes,10,2,9,13,15,11,4,5,5,4,3
32,tal2,TA,yes,yes,16,12,17,2,18,9,4,5,6,6,5
33,tal3,TA,yes,yes,15,2,1,1,10,1,5,6,7,7,6
34,tal4,TA,yes,yes,10,1,15,10,15,1,2,4,4,4,4
35,tal5,TA,yes,yes,2,1,1,1,2,1,2,5,7,6,6
36,tal6,TA,yes,yes,10,2,2,1,3,1,4,4,7,7,3
37,tal7,TA,yes,yes,2,1,2,1,1,2,3,6,6,6,5
38,tal8,TA,yes,yes,10,5,20,10,10,16,7,6,6,6,6
39,tal9,TA,yes,yes,5,1,5,1,5,1,2,6,6,6,4
40,tal10,TA,yes,yes,18,2,18,15,15,2,6,4,5,5,4