ranking,iteration,task,diversity,uncertainty
embedKM,8.0,pubmed,0.1590451673297449,1.5793911218643188
embedKM,6.0,pubmed,0.1329744909899368,1.5795172452926636
rand,8.0,pubmed,0.22143692955768782,1.5805472135543823
embedKM,5.0,pubmed,0.11949450035104142,1.579650640487671
rand-badge,6.0,pubmed,0.17963959747250174,1.580753207206726
rand,10.0,pubmed,0.24708635619003042,1.580623745918274
rand,4.0,pubmed,0.1476246197051252,1.5797516107559204
embedKM,2.0,pubmed,0.06655745377954599,1.5794259309768677
embedKM-FTembedKM,7.0,pubmed,0.15923238942195178,1.5800460577011108
embedKM,3.0,pubmed,0.08738591153756144,1.5796650648117065
rand-entropy,5.0,pubmed,0.14664170372103907,1.5757097005844116
embedKM-FTembedKM,5.0,pubmed,0.13016615960683361,1.579981803894043
mlmKM,8.0,pubmed,0.23973788907091037,1.5806949138641357
embedKM,4.0,pubmed,0.10461034402059444,1.579675555229187
embedKM,7.0,pubmed,0.14584600982915985,1.5794416666030884
rand-badge,10.0,pubmed,0.24479288556049614,1.581329584121704
rand-badge,5.0,pubmed,0.162040720805055,1.580371618270874
embedKM-FTembedKM,4.0,pubmed,0.11298853264685232,1.5797916650772095
mlmKM,10.0,pubmed,0.2728761993915282,1.5804859399795532
embedKM-FTembedKM,8.0,pubmed,0.1741165457523988,1.5802258253097534
mlmKM,9.0,pubmed,0.2561666276620641,1.5804797410964966
rand-entropy,9.0,pubmed,0.2419377486543412,1.5813813209533691
rand-entropy,4.0,pubmed,0.11766908495202434,1.5732548236846924
rand,9.0,pubmed,0.2351509478118418,1.5806471109390259
rand-entropy,8.0,pubmed,0.2258366487245495,1.5803558826446533
rand,7.0,pubmed,0.2046337467821203,1.5802228450775146
mlmKM,2.0,pubmed,0.0963725719634917,1.5794721841812134
embedKM-FTembedKM,2.0,pubmed,0.06838286917856307,1.579035997390747
embedKM-FTembedKM,6.0,pubmed,0.14579920430610813,1.5800343751907349
mlmKM,5.0,pubmed,0.181605429440674,1.5805349349975586
rand,2.0,pubmed,0.09258132459630236,1.5798588991165161
rand-entropy,6.0,pubmed,0.1793119588111397,1.5778051614761353
embedKM-FTembedKM,3.0,pubmed,0.0936110461034402,1.5793009996414185
mlmKM,6.0,pubmed,0.20196583196817225,1.5805765390396118
mlmKM,3.0,pubmed,0.12913643809969577,1.5796607732772827
rand,5.0,pubmed,0.16962321553943366,1.580137014389038
embedKM,1.0,pubmed,0.042499414930961855,1.5791618824005127
rand-entropy,2.0,pubmed,0.09520243388719869,1.5781232118606567
rand-badge,8.0,pubmed,0.21525860051486076,1.5813409090042114
rand-badge,3.0,pubmed,0.11916686168967938,1.5799062252044678
embedKM-FTembedKM,9.0,pubmed,0.19134097823543178,1.5802934169769287
embedKM,9.0,pubmed,0.16943599344722676,1.5793123245239258
embedKM-FTembedKM,10.0,pubmed,0.20416569155160308,1.5805498361587524
mlmKM,7.0,pubmed,0.22185817926515328,1.580613136291504
rand-badge,2.0,pubmed,0.09253451907325064,1.5803275108337402
rand,3.0,pubmed,0.12216241516498946,1.5797713994979858
mlmKM,4.0,pubmed,0.157360168499883,1.5805785655975342
rand-entropy,10.0,pubmed,0.2573367657383571,1.58176851272583
rand,1.0,pubmed,0.05523051720102972,1.5798763036727905
rand-entropy,3.0,pubmed,0.10498478820500819,1.5719157457351685
mlmKM,1.0,pubmed,0.05841329276854669,1.5806394815444946
rand,6.0,pubmed,0.18825181371401825,1.5801714658737183
rand-badge,7.0,pubmed,0.2009361104610344,1.5810463428497314
rand-entropy,7.0,pubmed,0.20828457758015445,1.5788695812225342
rand-badge,4.0,pubmed,0.14116545752398782,1.5798112154006958
rand-badge,9.0,pubmed,0.22976831266089398,1.5813592672348022
embedKM,8.0,agnews,0.1632148130412227,1.3499966859817505
embedKM,6.0,agnews,0.10870345983478989,1.350050449371338
rand,8.0,agnews,0.25831038748553414,1.3444610834121704
embedKM,5.0,agnews,0.06772018037431661,1.3493776321411133
rand-badge,6.0,agnews,0.2243106269204677,1.3470110893249512
rand,10.0,agnews,0.2896763637814757,1.3443572521209717
rand,4.0,agnews,0.17019833193662956,1.3443831205368042
embedKM,2.0,agnews,0.10870345983478989,1.350050449371338
embedKM-FTembedKM,7.0,agnews,0.22893970230256594,1.3467236757278442
embedKM,3.0,agnews,0.1387924498184285,1.3498321771621704
rand-entropy,5.0,agnews,0.20499620894688536,1.343717336654663
embedKM-FTembedKM,5.0,agnews,0.19003152559958497,1.3476330041885376
mlmKM,8.0,agnews,0.2656131529590167,1.3454965353012085
embedKM,4.0,agnews,0.1632148130412227,1.3499966859817505
embedKM,7.0,agnews,0.1387924498184285,1.3498321771621704
rand-badge,10.0,agnews,0.2954627080090985,1.3455876111984253
rand-badge,5.0,agnews,0.20451733907977174,1.347511887550354
embedKM-FTembedKM,4.0,agnews,0.16604812642164493,1.3479400873184204
mlmKM,10.0,agnews,0.29745799912207194,1.3457036018371582
embedKM-FTembedKM,8.0,agnews,0.2441837264056826,1.3463932275772095
mlmKM,9.0,agnews,0.2809768945289118,1.3455820083618164
rand-entropy,9.0,agnews,0.2908336326270003,1.3430728912353516
rand-entropy,4.0,agnews,0.17782034398818788,1.3437097072601318
rand,9.0,agnews,0.2742328105670617,1.3444045782089233
rand-entropy,8.0,agnews,0.27223751945408836,1.343324899673462
rand,7.0,agnews,0.24139031884751985,1.3445446491241455
mlmKM,2.0,agnews,0.1144898040624127,1.3446842432022095
embedKM-FTembedKM,2.0,agnews,0.1057504289875893,1.3494954109191895
embedKM-FTembedKM,6.0,agnews,0.21297737339877887,1.347372055053711
mlmKM,5.0,agnews,0.20459715072429066,1.3454725742340088
rand,2.0,agnews,0.10806496667863841,1.3457914590835571
rand-entropy,6.0,agnews,0.2285007382577118,1.34333074092865
embedKM-FTembedKM,3.0,agnews,0.1376750867951634,1.3487612009048462
mlmKM,6.0,agnews,0.2278622451015603,1.3455668687820435
mlmKM,3.0,agnews,0.15024542080689574,1.3449863195419312
rand,5.0,agnews,0.19733429107306755,1.3446338176727295
embedKM,1.0,agnews,0.06668262899557045,1.3500335216522217
rand-entropy,2.0,agnews,0.10986072868031446,1.343955636024475
rand-badge,8.0,agnews,0.2649746598028652,1.346073031425476
rand-badge,3.0,agnews,0.1515224071191987,1.3475337028503418
embedKM-FTembedKM,9.0,agnews,0.25839019913005307,1.3461881875991821
embedKM,9.0,agnews,0.18675924817430864,1.3499821424484253
embedKM-FTembedKM,10.0,agnews,0.2735544115886508,1.345900058746338
mlmKM,7.0,agnews,0.24821421445388883,1.3455778360366821
rand-badge,2.0,agnews,0.11552735544115887,1.3471853733062744
rand,3.0,agnews,0.14266331457759687,1.3449280261993408
embedKM,10.0,agnews,0.20794923979408594,1.3499399423599243
mlmKM,4.0,agnews,0.18065365736861008,1.3450344800949097
rand-entropy,10.0,agnews,0.31062692046769624,1.3427799940109253
rand,1.0,agnews,0.06756055708527874,1.3463521003723145
rand-entropy,3.0,agnews,0.14577596871383536,1.343203067779541
mlmKM,1.0,agnews,0.06987509477632786,1.3434313535690308
rand,6.0,agnews,0.22203599505167804,1.3446351289749146
rand-badge,7.0,agnews,0.24334570413823378,1.3465418815612793
rand-entropy,7.0,agnews,0.2505686579671974,1.3434778451919556
rand-badge,4.0,agnews,0.17782034398818788,1.347389817237854
rand-badge,9.0,agnews,0.2799792489724251,1.345821499824524
